mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	staff_text
13	12	177/4	177/4	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	286	
13	12	179/4	179/4	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	287	
13	12	181/4	181/4	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	288	
13	12	183/4	183/4	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	289	
13	12	185/4	185/4	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	290	
13	12	187/4	187/4	1.0	5/8	5/8	Chord	4/4	1	2	1/4		1/4	1	291	
13	12	191/4	191/4	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	292	
13	12	185/4	185/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	293	
13	12	187/4	187/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	294	
13	12	189/4	189/4	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	295	
14	13	193/4	193/4	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	296	
14	13	97/2	97/2	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	297	
14	13	195/4	195/4	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	298	
14	13	49	49	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	299	
14	13	197/4	197/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	300	
14	13	99/2	99/2	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	301	
14	13	199/4	199/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	302	
14	13	50	50	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	303	
14	13	201/4	201/4	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	304	
14	13	101/2	101/2	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	305	
14	13	203/4	203/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	306	
14	13	51	51	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	307	
14	13	205/4	205/4	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	308	
14	13	103/2	103/2	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	309	
14	13	207/4	207/4	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	310	
14	13	52	52	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	311	
14	13	193/4	193/4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	312	
14	13	197/4	197/4	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	313	
14	13	99/2	99/2	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	314	
14	13	199/4	199/4	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	315	
14	13	50	50	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	316	
14	13	201/4	201/4	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	317	
14	13	205/4	205/4	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	318	
14	13	103/2	103/2	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	319	
14	13	207/4	207/4	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	320	
14	13	52	52	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	321	
15	14	209/4	209/4	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	322	
15	14	105/2	105/2	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	323	
15	14	211/4	211/4	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	324	
15	14	53	53	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	325	
15	14	213/4	213/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	326	
15	14	107/2	107/2	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	327	
15	14	215/4	215/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	328	
15	14	54	54	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	329	
15	14	217/4	217/4	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	330	
15	14	221/4	221/4	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	331	
15	14	111/2	111/2	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	332	
15	14	223/4	223/4	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	333	
15	14	56	56	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	334	
15	14	209/4	209/4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	335	
15	14	213/4	213/4	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	336	
15	14	107/2	107/2	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	337	
15	14	215/4	215/4	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	338	
15	14	54	54	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	339	
15	14	217/4	217/4	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	340	
15	14	109/2	109/2	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	341	
15	14	219/4	219/4	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	342	
15	14	55	55	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	343	
15	14	221/4	221/4	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	344	
15	14	111/2	111/2	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	345	
15	14	223/4	223/4	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	346	
15	14	56	56	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	347	
16	15	225/4	225/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	348	
16	15	227/4	227/4	0.75	1/8	1/8	Chord	4/4	1	1	3/16		1/8	3/2	349	
16	15	115/2	115/2	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	350	
16	15	231/4	231/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	351	
16	15	58	58	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	352	
16	15	233/4	233/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	353	
16	15	235/4	235/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	354	
16	15	59	59	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	355	
16	15	237/4	237/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	356	
16	15	239/4	239/4	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	357	
16	15	233/4	233/4	0.25	1/2	1/2	Chord	4/4	1	2	1/16		1/16	1	358	
16	15	117/2	117/2	0.25	9/16	9/16	Chord	4/4	1	2	1/16		1/16	1	359	
16	15	235/4	235/4	0.75	5/8	5/8	Chord	4/4	1	2	3/16		1/8	3/2	360	
16	15	119/2	119/2	0.5	13/16	13/16	Chord	4/4	1	2	1/8		1/8	1	361	
16	15	60	60	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	362	
16	15	225/4	225/4	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	363	
16	15	113/2	113/2	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	364	
16	15	227/4	227/4	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	365	
16	15	57	57	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	366	
16	15	229/4	229/4	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	367	
16	15	115/2	115/2	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	368	
16	15	231/4	231/4	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	369	
16	15	58	58	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	370	
16	15	233/4	233/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	371	
16	15	235/4	235/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	372	
16	15	237/4	237/4	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	373	
16	15	239/4	239/4	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	374	
17	16	241/4	241/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	375	
17	16	245/4	245/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	376	
17	16	247/4	247/4	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	377	
17	16	249/4	249/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	378	
17	16	251/4	251/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	379	
17	16	63	63	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	380	
17	16	253/4	253/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	381	
17	16	255/4	255/4	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	382	
17	16	241/4	241/4	0.25	0	0	Chord	4/4	1	2	1/16		1/16	1	383	
17	16	121/2	121/2	0.25	1/16	1/16	Chord	4/4	1	2	1/16		1/16	1	384	
17	16	243/4	243/4	0.25	1/8	1/8	Chord	4/4	1	2	1/16		1/16	1	385	
17	16	61	61	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	386	
17	16	245/4	245/4	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	387	
17	16	247/4	247/4	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	388	
17	16	249/4	249/4	0.25	1/2	1/2	Chord	4/4	1	2	1/16		1/16	1	389	
17	16	125/2	125/2	0.25	9/16	9/16	Chord	4/4	1	2	1/16		1/16	1	390	
17	16	251/4	251/4	0.25	5/8	5/8	Chord	4/4	1	2	1/16		1/16	1	391	
17	16	63	63	0.25	11/16	11/16	Chord	4/4	1	2	1/16		1/16	1	392	
17	16	253/4	253/4	0.25	3/4	3/4	Chord	4/4	1	2	1/16		1/16	1	393	
17	16	241/4	241/4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	394	
17	16	245/4	245/4	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	395	
17	16	123/2	123/2	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	396	
17	16	247/4	247/4	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	397	
17	16	62	62	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	398	
17	16	249/4	249/4	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	399	
17	16	251/4	251/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	400	
17	16	253/4	253/4	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	401	
17	16	127/2	127/2	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	402	
17	16	255/4	255/4	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	403	
17	16	64	64	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	404	
18	17	257/4	257/4	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	405	
18	17	129/2	129/2	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	406	
18	17	259/4	259/4	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	407	
18	17	65	65	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	408	
18	17	261/4	261/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	409	
18	17	131/2	131/2	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	410	
18	17	263/4	263/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	411	
18	17	66	66	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	412	
18	17	265/4	265/4	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	413	
18	17	133/2	133/2	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	414	
18	17	267/4	267/4	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	415	
18	17	67	67	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	416	
18	17	269/4	269/4	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	417	
18	17	135/2	135/2	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	418	
18	17	271/4	271/4	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	419	
18	17	68	68	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	420	
18	17	257/4	257/4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	421	
18	17	261/4	261/4	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	422	
18	17	131/2	131/2	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	423	
18	17	263/4	263/4	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	424	
18	17	66	66	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	425	
18	17	265/4	265/4	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	426	
18	17	269/4	269/4	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	427	
18	17	135/2	135/2	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	428	
18	17	271/4	271/4	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	429	
18	17	68	68	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	430	
19	18	273/4	273/4	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	431	
19	18	277/4	277/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	432	
19	18	139/2	139/2	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	433	
19	18	279/4	279/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	434	
19	18	70	70	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	435	
19	18	281/4	281/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	436	
19	18	283/4	283/4	0.75	5/8	5/8	Chord	4/4	1	1	3/16		1/8	3/2	437	
19	18	143/2	143/2	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	438	
19	18	287/4	287/4	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	439	
19	18	72	72	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	440	
19	18	273/4	273/4	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	441	
19	18	137/2	137/2	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	442	
19	18	275/4	275/4	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	443	
19	18	69	69	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	444	
19	18	277/4	277/4	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	445	
19	18	139/2	139/2	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	446	
19	18	279/4	279/4	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	447	
19	18	70	70	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	448	
19	18	281/4	281/4	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	449	
19	18	141/2	141/2	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	450	
19	18	283/4	283/4	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	451	
19	18	71	71	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	452	
19	18	285/4	285/4	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	453	
19	18	143/2	143/2	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	454	
19	18	287/4	287/4	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	455	
19	18	72	72	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	456	
20	19	289/4	289/4	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	457	
20	19	145/2	145/2	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	458	
20	19	291/4	291/4	0.75	1/8	1/8	Chord	4/4	1	1	3/16		1/8	3/2	459	
20	19	147/2	147/2	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	460	
20	19	295/4	295/4	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	461	
20	19	297/4	297/4	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	462	
20	19	301/4	301/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	463	
20	19	303/4	303/4	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	464	
20	19	289/4	289/4	0.75	0	0	Chord	4/4	1	2	3/16		1/8	3/2	465	
20	19	73	73	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	466	
20	19	293/4	293/4	0.75	1/4	1/4	Chord	4/4	1	2	3/16		1/8	3/2	467	
20	19	74	74	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	468	
20	19	297/4	297/4	0.25	1/2	1/2	Chord	4/4	1	2	1/16		1/16	1	469	
20	19	149/2	149/2	0.25	9/16	9/16	Chord	4/4	1	2	1/16		1/16	1	470	
20	19	299/4	299/4	0.25	5/8	5/8	Chord	4/4	1	2	1/16		1/16	1	471	
20	19	75	75	0.25	11/16	11/16	Chord	4/4	1	2	1/16		1/16	1	472	
20	19	301/4	301/4	0.25	3/4	3/4	Chord	4/4	1	2	1/16		1/16	1	473	
20	19	151/2	151/2	0.25	13/16	13/16	Chord	4/4	1	2	1/16		1/16	1	474	
20	19	303/4	303/4	0.25	7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	475	
20	19	76	76	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	476	
20	19	289/4	289/4	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	477	
20	19	291/4	291/4	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	478	
20	19	293/4	293/4	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	479	
20	19	295/4	295/4	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	480	
20	19	297/4	297/4	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	481	
21	20	305/4	305/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	482	
21	20	307/4	307/4	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	483	
21	20	311/4	311/4	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	484	
21	20	313/4	313/4	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	485	
21	20	79	79	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	486	
21	20	317/4	317/4	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	487	
21	20	80	80	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	488	
21	20	305/4	305/4	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	489	
21	20	153/2	153/2	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	490	
21	20	307/4	307/4	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	491	
21	20	77	77	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	492	
21	20	309/4	309/4	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	493	
21	20	155/2	155/2	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	494	
21	20	311/4	311/4	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	495	
21	20	78	78	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	496	
21	20	313/4	313/4	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	497	
21	20	157/2	157/2	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	498	
21	20	315/4	315/4	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	499	
21	20	317/4	317/4	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	500	
21	20	159/2	159/2	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	501	
21	20	319/4	319/4	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	502	
21	20	305/4	305/4	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	503	
21	20	313/4	313/4	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	504	
22	21	321/4	321/4	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	505	
22	21	161/2	161/2	0.5	1/16	1/16	Chord	4/4	1	1	1/8		1/8	1	506	
22	21	81	81	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	507	
22	21	325/4	325/4	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	508	
22	21	82	82	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	509	
22	21	329/4	329/4	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura	1/32	1	510	
22	21	329/4	329/4	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	511	
22	21	321/4	321/4	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	512	
22	21	323/4	323/4	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	513	
22	21	325/4	325/4	0.25	1/4	1/4	Chord	4/4	1	2	1/16		1/16	1	514	
22	21	163/2	163/2	0.25	5/16	5/16	Chord	4/4	1	2	1/16		1/16	1	515	
22	21	327/4	327/4	0.25	3/8	3/8	Chord	4/4	1	2	1/16		1/16	1	516	
22	21	82	82	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	517	
22	21	329/4	329/4	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	518	
22	21	321/4	321/4	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	519	
22	21	329/4	329/4	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	520	
23	21	84	84	0.25	0	15/16	Chord	4/4	1	1	1/16		1/16	1	521	
24	22	337/4	337/4	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	522	
24	22	169/2	169/2	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	523	
24	22	339/4	339/4	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	524	
24	22	85	85	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	525	
24	22	341/4	341/4	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	526	
24	22	171/2	171/2	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	527	
24	22	343/4	343/4	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	528	
24	22	86	86	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	529	
24	22	345/4	345/4	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	530	
24	22	351/4	351/4	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	531	
24	22	86	86	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	532	
24	22	345/4	345/4	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	533	
24	22	173/2	173/2	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	534	
24	22	347/4	347/4	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	535	
24	22	87	87	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	536	
24	22	349/4	349/4	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	537	
24	22	175/2	175/2	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	538	
24	22	351/4	351/4	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	539	
24	22	88	88	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	540	
25	23	353/4	353/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	541	
25	23	355/4	355/4	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	542	
25	23	357/4	357/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	543	
25	23	359/4	359/4	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	544	
25	23	361/4	361/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	545	
25	23	363/4	363/4	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	546	
25	23	365/4	365/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	547	
25	23	367/4	367/4	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	548	
25	23	367/4	367/4	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	549	
25	23	353/4	353/4	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	550	
25	23	177/2	177/2	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	551	
25	23	355/4	355/4	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	552	
25	23	89	89	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	553	
25	23	357/4	357/4	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	554	
25	23	179/2	179/2	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	555	
25	23	359/4	359/4	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	556	
25	23	90	90	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	557	
25	23	361/4	361/4	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	558	
25	23	181/2	181/2	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	559	
25	23	363/4	363/4	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	560	
25	23	91	91	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	561	
25	23	365/4	365/4	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	562	
25	23	183/2	183/2	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	563	
25	23	367/4	367/4	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	564	
25	23	92	92	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	565	
26	24	369/4	369/4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	566	
26	24	371/4	371/4	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	567	
26	24	373/4	373/4	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	568	
26	24	377/4	377/4	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	569	
26	24	379/4	379/4	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	570	
26	24	381/4	381/4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	571	
26	24	383/4	383/4	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	572	
26	24	369/4	369/4	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	573	
26	24	371/4	371/4	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	574	
26	24	373/4	373/4	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	575	
