mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	slur
34	34	135/2	135/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	298		
34	34	66	66	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	299		
34	34	265/4	265/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	300		
34	34	133/2	133/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	301		
34	34	267/4	267/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	302		
34	34	67	67	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	303		
34	34	269/4	269/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	304		
34	34	135/2	135/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	305		
34	34	271/4	271/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	306		
35	35	68	68	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	307		
35	35	273/4	273/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	308		
35	35	137/2	137/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	309		
35	35	275/4	275/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	310		
35	35	69	69	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	311		
35	35	277/4	277/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	312		
35	35	139/2	139/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	313		
35	35	279/4	279/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	314		
35	35	68	68	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	315		
35	35	137/2	137/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	316		
35	35	69	69	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	317		
35	35	139/2	139/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	318		
36	36	70	70	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	319		
36	36	70	70	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	320		
36	36	141/2	141/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	321		
36	36	71	71	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	322		
36	36	143/2	143/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	323		
37	37	72	72	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	324		
37	37	145/2	145/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	325		
37	37	73	73	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	326		
37	37	293/4	293/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	327		
37	37	147/2	147/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	328		
37	37	295/4	295/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	329		
37	37	72	72	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	330		
37	37	73	73	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	331		
38	38	74	74	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	332		
38	38	297/4	297/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	333		
38	38	149/2	149/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	334		
38	38	75	75	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	335		
38	38	301/4	301/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	336		
38	38	151/2	151/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	337		
38	38	303/4	303/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	338		
38	38	74	74	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	339		
38	38	75	75	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	340		
39	39	76	76	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	341		
39	39	305/4	305/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	342		
39	39	153/2	153/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	343		
39	39	307/4	307/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	344		
39	39	77	77	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	345		
39	39	309/4	309/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	346		
39	39	155/2	155/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	347		
39	39	311/4	311/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	348		
39	39	76	76	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	349		
39	39	77	77	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	350		
40	40	78	78	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	351		
40	40	313/4	313/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	352		
40	40	157/2	157/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	353		
40	40	315/4	315/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	354		
40	40	79	79	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	355		
40	40	317/4	317/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	356		
40	40	159/2	159/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	357		
40	40	319/4	319/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	358		
40	40	78	78	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	359		
40	40	79	79	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	360		
40	40	159/2	159/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	361		
40	40	78	78	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	362		
40	40	157/2	157/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	363		
41	41	80	80	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	364	ornamentTrill	
41	41	161/2	161/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	365		
41	41	323/4	323/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	366		
41	41	81	81	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	367		
41	41	325/4	325/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	368		
41	41	163/2	163/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	369		
41	41	327/4	327/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	370		
41	41	80	80	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	371		
41	41	81	81	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	372		
42	42	82	82	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	373		
42	42	329/4	329/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	374		
42	42	165/2	165/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	375		
42	42	331/4	331/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	376		
42	42	83	83	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	377		
42	42	82	82	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	378		
42	42	83	83	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	379		
42	42	333/4	333/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	380		
42	42	167/2	167/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	381		
42	42	335/4	335/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	382		
43	43	84	84	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	383		
43	43	169/2	169/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	384		
43	43	85	85	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	385		
43	43	341/4	341/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	386		
43	43	171/2	171/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	387		
43	43	343/4	343/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	388		
43	43	84	84	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	389		
43	43	85	85	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	390		
44	44	86	86	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	391		
44	44	345/4	345/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	392		
44	44	173/2	173/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	393		
44	44	87	87	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	394		
44	44	349/4	349/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	395		
44	44	175/2	175/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	396		
44	44	351/4	351/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	397		
44	44	86	86	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	398		
44	44	87	87	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	399		
45	45	88	88	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	400		
45	45	353/4	353/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	401		
45	45	177/2	177/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	402		
45	45	355/4	355/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	403		
45	45	89	89	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	404		
45	45	357/4	357/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	405		
45	45	179/2	179/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	406		
45	45	359/4	359/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	407		
45	45	88	88	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	408		
45	45	89	89	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	409		
46	46	90	90	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	410		
46	46	361/4	361/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	411		
46	46	181/2	181/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	412		
46	46	363/4	363/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	413		
46	46	91	91	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	414		
46	46	365/4	365/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	415		
46	46	183/2	183/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	416		
46	46	367/4	367/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	417		
46	46	90	90	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	418		
46	46	91	91	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	419		
46	46	183/2	183/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	420		
46	46	90	90	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	421		
46	46	181/2	181/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	422		
47	47	92	92	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	423		
47	47	369/4	369/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	424		
47	47	185/2	185/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	425		
47	47	371/4	371/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	426		
47	47	93	93	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	427		
47	47	373/4	373/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	428		
47	47	187/2	187/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	429		
47	47	375/4	375/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	430		
47	47	92	92	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	431		
47	47	185/2	185/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	432		
47	47	93	93	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	433		
47	47	187/2	187/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	434		
48	48	94	94	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	435		
48	48	189/2	189/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	436		
48	48	95	95	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	437		
48	48	191/2	191/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	438		
48	48	94	94	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	439		
49	49	96	96	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	440		
49	49	385/4	385/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	441		
49	49	193/2	193/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	442		
49	49	387/4	387/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	443		
49	49	97	97	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	444		
49	49	389/4	389/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	445		
49	49	195/2	195/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	446		
49	49	391/4	391/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	447		
49	49	96	96	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	448		
49	49	97	97	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	449		
50	50	98	98	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	450		
50	50	393/4	393/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	451		
50	50	197/2	197/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	452		
50	50	395/4	395/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	453		
50	50	99	99	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	454		
50	50	397/4	397/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	455		
50	50	199/2	199/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	456		
50	50	399/4	399/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	457		
50	50	98	98	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	458		
50	50	99	99	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	459		
51	51	100	100	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	460		
51	51	401/4	401/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	461		
51	51	201/2	201/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	462		
51	51	403/4	403/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	463		
51	51	101	101	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	464		
51	51	405/4	405/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	465		
51	51	203/2	203/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	466		
51	51	407/4	407/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	467		
51	51	100	100	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	468		
51	51	101	101	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	469		
52	52	102	102	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	470		
52	52	409/4	409/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	471		
52	52	205/2	205/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	472		
52	52	411/4	411/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	473		
52	52	103	103	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	474		
52	52	413/4	413/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	475		
52	52	207/2	207/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	476		
52	52	415/4	415/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	477		
52	52	102	102	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	478		
52	52	103	103	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	479		
53	53	104	104	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	480	ornamentTrill	
53	53	209/2	209/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	481		
53	53	419/4	419/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	482		
53	53	105	105	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	483		
53	53	421/4	421/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	484		
53	53	211/2	211/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	485		
53	53	423/4	423/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	486		
53	53	104	104	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	487		
53	53	105	105	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	488		
54	54	106	106	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	489		
54	54	425/4	425/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	490		
54	54	213/2	213/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	491		
54	54	427/4	427/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	492		
54	54	107	107	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	493		
54	54	106	106	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	494		
54	54	107	107	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	495		
54	54	429/4	429/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	496		
54	54	215/2	215/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	497		
54	54	431/4	431/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	498		
55	55	108	108	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	499		
55	55	433/4	433/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	500		
55	55	217/2	217/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	501		
55	55	435/4	435/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	502		
55	55	109	109	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	503		
55	55	437/4	437/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	504		
55	55	219/2	219/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	505		
55	55	439/4	439/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	506		
55	55	108	108	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	507		
55	55	109	109	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	508		
56	56	110	110	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	509		
56	56	441/4	441/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	510		
56	56	221/2	221/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	511		
56	56	443/4	443/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	512		
56	56	111	111	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	513		
56	56	445/4	445/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	514		
56	56	223/2	223/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	515		
56	56	447/4	447/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	516		
56	56	110	110	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	517		
56	56	111	111	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	518		
57	57	112	112	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	519		
57	57	449/4	449/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	520		
57	57	225/2	225/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	521		
57	57	451/4	451/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	522		
57	57	113	113	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	523		
57	57	453/4	453/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	524		
57	57	227/2	227/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	525		
57	57	455/4	455/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	526		
57	57	112	112	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	527		
57	57	113	113	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	528		
58	58	114	114	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	529		
58	58	457/4	457/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	530		
58	58	229/2	229/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	531		
58	58	459/4	459/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	532		
58	58	115	115	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	533		
58	58	461/4	461/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	534		
58	58	231/2	231/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	535		
58	58	463/4	463/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	536		
58	58	114	114	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	537		
58	58	115	115	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	538		
59	59	116	116	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	539		
59	59	465/4	465/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	540		
59	59	233/2	233/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	541		
59	59	467/4	467/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	542		
59	59	117	117	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	543		
59	59	469/4	469/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	544		
59	59	235/2	235/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	545		
59	59	471/4	471/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	546		
59	59	116	116	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	547		
59	59	233/2	233/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	548		
59	59	117	117	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	549		
59	59	235/2	235/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	550		
60	60	118	118	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	551		
60	60	237/2	237/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	552		
60	60	119	119	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	553		
60	60	239/2	239/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	554		
60	60	118	118	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	555		
61	61	120	120	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	556		
61	61	243/2	243/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	557		
61	61	120	120	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	558		
61	61	481/4	481/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	559		
61	61	241/2	241/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	560		
61	61	483/4	483/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	561		
61	61	121	121	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	562		
61	61	485/4	485/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	563		
61	61	243/2	243/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	564		
61	61	487/4	487/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	565		
62	62	122	122	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	566		
62	62	247/2	247/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	567		
62	62	122	122	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	568		
62	62	489/4	489/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	569		
62	62	245/2	245/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	570		
62	62	491/4	491/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	571		
62	62	123	123	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	572		
62	62	493/4	493/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	573		
62	62	247/2	247/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	574		
62	62	495/4	495/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	575		
63	63	124	124	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	576		
63	63	125	125	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	577		
63	63	124	124	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	578		
63	63	497/4	497/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	579		
63	63	249/2	249/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	580		
63	63	499/4	499/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	581		
63	63	125	125	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	582		
63	63	501/4	501/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	583		
63	63	251/2	251/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	584		
63	63	503/4	503/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	585		
64	64	126	126	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	586	ornamentTrill	
64	64	253/2	253/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	587		
64	64	507/4	507/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	588		
64	64	127	127	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	589		
64	64	509/4	509/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	590		
64	64	255/2	255/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	591		
64	64	511/4	511/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	592		
64	64	126	126	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	593		
64	64	127	127	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	594		
65	65	128	128	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	595		
