mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	slur
45	45	66	66	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	295		
45	45	529/8	529/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	296		
45	45	265/4	265/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	297		
45	45	133/2	133/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	298		
45	45	67	67	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	299		
45	45	66	66	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	300		
45	45	67	67	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	301		
46	46	135/2	135/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	302		
46	46	541/8	541/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	303		
46	46	271/4	271/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	304		
46	46	68	68	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	305		
46	46	137/2	137/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	306		
46	46	135/2	135/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	307		
46	46	137/2	137/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	308		
47	47	69	69	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	309		
47	47	69	69	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	310		
47	47	139/2	139/2	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	311		
47	47	279/4	279/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	312		
47	47	70	70	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	313		
47	47	69	69	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	314		
47	47	70	70	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	315		
48	48	141/2	141/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	316		
48	48	565/8	565/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	317		
48	48	283/4	283/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	318		
48	48	71	71	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	319		
48	48	143/2	143/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	320		
48	48	141/2	141/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	321		
48	48	71	71	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	322		
48	48	143/2	143/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	323		
49	49	72	72	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	324		
49	49	577/8	577/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	325		
49	49	289/4	289/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	326		
49	49	145/2	145/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	327		
49	49	73	73	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	328		
49	49	72	72	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	329		
50	50	147/2	147/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	330		
50	50	147/2	147/2	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	331		
50	50	589/8	589/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	332		
50	50	295/4	295/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	333		
50	50	74	74	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	334		
50	50	149/2	149/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	335		
51	51	75	75	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	336		
51	51	601/8	601/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	337		
51	51	301/4	301/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	338		
51	51	151/2	151/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	339		
51	51	76	76	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	340		
51	51	75	75	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	341		
52	52	153/2	153/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	342		
52	52	153/2	153/2	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	343		
52	52	613/8	613/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	344		
52	52	307/4	307/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	345		
52	52	77	77	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	346		
52	52	155/2	155/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	347		
53	53	78	78	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	348		
53	53	313/4	313/4	0.125	1/16	1/16	Chord	3/8	1	1	1/32		1/32	1	349		
53	53	627/8	627/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	350		
53	53	157/2	157/2	0.125	1/8	1/8	Chord	3/8	1	1	1/32		1/32	1	351		
53	53	629/8	629/8	0.125	5/32	5/32	Chord	3/8	1	1	1/32		1/32	1	352		
53	53	315/4	315/4	0.125	3/16	3/16	Chord	3/8	1	1	1/32		1/32	1	353		
53	53	631/8	631/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	354		
53	53	79	79	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	355		
53	53	78	78	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	356		
53	53	79	79	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	357		
54	54	159/2	159/2	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	358		
54	54	639/8	639/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	359		
54	54	80	80	0.75	1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	360	ornamentTrill	
54	54	323/4	323/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	361		
54	54	159/2	159/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	362		
54	54	80	80	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	363		
54	54	161/2	161/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	364		
55	55	81	81	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	365		
55	55	325/4	325/4	0.125	1/16	1/16	Chord	3/8	1	1	1/32		1/32	1	366		
55	55	651/8	651/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	367		
55	55	163/2	163/2	0.125	1/8	1/8	Chord	3/8	1	1	1/32		1/32	1	368		
55	55	653/8	653/8	0.125	5/32	5/32	Chord	3/8	1	1	1/32		1/32	1	369		
55	55	327/4	327/4	0.125	3/16	3/16	Chord	3/8	1	1	1/32		1/32	1	370		
55	55	655/8	655/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	371		
55	55	82	82	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	372		
55	55	81	81	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	373		
55	55	82	82	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	374		
56	56	165/2	165/2	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	375		
56	56	663/8	663/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	376		
56	56	83	83	0.75	1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	377	ornamentTrill	
56	56	335/4	335/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	378		
56	56	165/2	165/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	379		
56	56	83	83	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	380		
56	56	167/2	167/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	381		
57	57	84	84	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	382		
57	57	84	84	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	383		
58	58	171/2	171/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	384		
58	58	685/8	685/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	385		
58	58	343/4	343/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	386		
58	58	86	86	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	387		
58	58	173/2	173/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	388		
58	58	171/2	171/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	389		
59	59	87	87	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	390		
59	59	87	87	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	391		
59	59	697/8	697/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	392		
59	59	349/4	349/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	393		
59	59	175/2	175/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	394		
59	59	88	88	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	395		
60	60	177/2	177/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	396		
60	60	709/8	709/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	397		
60	60	355/4	355/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	398		
60	60	89	89	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	399		
60	60	179/2	179/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	400		
60	60	177/2	177/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	401		
61	61	90	90	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	402		
61	61	90	90	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	403		
61	61	721/8	721/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	404		
61	61	361/4	361/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	405		
61	61	181/2	181/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	406		
61	61	91	91	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	407		
62	62	183/2	183/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	408		
62	62	367/4	367/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	409		
62	62	92	92	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	410		
62	62	369/4	369/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	411		
62	62	185/2	185/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	412		
62	62	371/4	371/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	413		
62	62	183/2	183/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	414		
62	62	369/4	369/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	415		
62	62	185/2	185/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	416		
62	62	371/4	371/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	417		
63	63	93	93	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	418		
63	63	373/4	373/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	419		
63	63	187/2	187/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	420		
63	63	375/4	375/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	421		
63	63	94	94	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	422		
63	63	377/4	377/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	423		
63	63	93	93	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	424		
63	63	373/4	373/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	425		
63	63	187/2	187/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	426		
63	63	375/4	375/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	427		
63	63	94	94	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	428		
63	63	377/4	377/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	429		
64	64	189/2	189/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	430		
64	64	757/8	757/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	431		
64	64	379/4	379/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	432		
64	64	95	95	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	433		
64	64	191/2	191/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	434		
64	64	189/2	189/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	435		
65	65	96	96	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	436		
65	65	96	96	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	437		
65	65	769/8	769/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	438		
65	65	385/4	385/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	439		
65	65	193/2	193/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	440		
65	65	97	97	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	441		
66	66	195/2	195/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	442		
66	66	781/8	781/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	443		
66	66	391/4	391/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	444		
66	66	98	98	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	445		
66	66	197/2	197/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	446		
66	66	195/2	195/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	447		
67	67	99	99	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	448		
67	67	99	99	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	449		
67	67	793/8	793/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	450		
67	67	397/4	397/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	451		
67	67	199/2	199/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	452		
67	67	100	100	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	453		
68	68	201/2	201/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	454		
68	68	403/4	403/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	455		
68	68	101	101	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	456		
68	68	405/4	405/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	457		
68	68	203/2	203/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	458		
68	68	407/4	407/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	459		
68	68	201/2	201/2	0.75	0	0	Chord	3/8	2	1	3/16		1/8	3/2	460		
68	68	405/4	405/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	461		
68	68	203/2	203/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	462		
68	68	407/4	407/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	463		
69	69	102	102	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	464		
69	69	409/4	409/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	465		
69	69	205/2	205/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	466		
69	69	103	103	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	467		
69	69	102	102	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	468		
69	69	409/4	409/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	469		
69	69	205/2	205/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	470		
69	69	411/4	411/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	471		
69	69	103	103	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	472		
69	69	413/4	413/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	473		
70	70	207/2	207/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	474	ornamentTrill	
70	70	104	104	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	475		
70	70	417/4	417/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	476		
70	70	209/2	209/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	477		
70	70	207/2	207/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	478		
71	71	105	105	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	479		
71	71	841/8	841/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	480		
71	71	421/4	421/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	481		
71	71	211/2	211/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	482		
71	71	106	106	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	483		
71	71	105	105	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	484		
71	71	106	106	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	485		
72	72	213/2	213/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	486		
72	72	853/8	853/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	487		
72	72	427/4	427/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	488		
72	72	107	107	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	489		
72	72	215/2	215/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	490		
72	72	213/2	213/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	491		
72	72	215/2	215/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	492		
73	73	108	108	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	493		
73	73	865/8	865/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	494		
73	73	433/4	433/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	495		
73	73	217/2	217/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	496		
73	73	109	109	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	497		
73	73	108	108	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	498		
73	73	109	109	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	499		
74	74	219/2	219/2	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	500		
74	74	879/8	879/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	501		
74	74	110	110	0.375	1/8	1/8	Chord	3/8	1	1	3/32		1/16	3/2	502		
74	74	883/8	883/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	503		
74	74	221/2	221/2	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	504		
74	74	887/8	887/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	505		
74	74	219/2	219/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	506		
74	74	110	110	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	507		
74	74	221/2	221/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	508		
75	75	111	111	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	509		
75	75	111	111	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	510	ornamentTrill	
75	75	111	111	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	511		
75	75	112	112	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	512		
76	76	225/2	225/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	513		
76	76	901/8	901/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	514		
76	76	451/4	451/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	515		
76	76	113	113	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	516		
76	76	227/2	227/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	517		
76	76	225/2	225/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	518		
76	76	227/2	227/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	519		
77	77	114	114	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	520		
77	77	913/8	913/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	521		
77	77	457/4	457/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	522		
77	77	229/2	229/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	523		
77	77	115	115	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	524		
77	77	114	114	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	525		
77	77	115	115	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	526		
78	78	231/2	231/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	527		
78	78	925/8	925/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	528		
78	78	463/4	463/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	529		
78	78	116	116	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	530		
78	78	233/2	233/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	531		
78	78	231/2	231/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	532		
78	78	233/2	233/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	533		
79	79	117	117	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	534		
79	79	937/8	937/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	535		
79	79	469/4	469/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	536		
79	79	235/2	235/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	537		
79	79	118	118	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	538		
79	79	117	117	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	539		
79	79	118	118	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	540		
80	80	237/2	237/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	541		
80	80	949/8	949/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	542		
80	80	475/4	475/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	543		
80	80	119	119	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	544		
80	80	239/2	239/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	545		
80	80	237/2	237/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	546		
80	80	239/2	239/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	547		
81	81	120	120	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	548		
81	81	961/8	961/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	549		
81	81	481/4	481/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	550		
81	81	241/2	241/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	551		
81	81	121	121	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	552		
81	81	120	120	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	553		
81	81	121	121	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	554		
82	82	243/2	243/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	555		
82	82	973/8	973/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	556		
82	82	487/4	487/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	557		
82	82	122	122	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	558		
82	82	245/2	245/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	559		
82	82	243/2	243/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	560		
82	82	245/2	245/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	561		
83	83	123	123	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	562		
83	83	985/8	985/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	563		
83	83	493/4	493/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	564		
83	83	247/2	247/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	565		
83	83	124	124	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	566		
83	83	123	123	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	567		
83	83	124	124	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	568		
84	84	249/2	249/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	569		
84	84	997/8	997/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	570		
84	84	499/4	499/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	571		
84	84	125	125	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	572		
84	84	251/2	251/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	573		
84	84	249/2	249/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	574		
84	84	251/2	251/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	575		
85	85	126	126	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	576		
85	85	1009/8	1009/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	577		
85	85	505/4	505/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	578		
85	85	253/2	253/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	579		
85	85	127	127	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	580		
85	85	126	126	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	581		
85	85	127	127	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	582		
86	86	255/2	255/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	583		
86	86	1021/8	1021/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	584		
86	86	511/4	511/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	585		
86	86	128	128	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	586		
86	86	257/2	257/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	587		
86	86	255/2	255/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	588		
86	86	257/2	257/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	589		
87	87	129	129	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	590		
87	87	1033/8	1033/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	591		
